categorie,groupe,code,organisme,famille,mode_action,matieres_actives,risque,estime
"Fongicides","M. Fongicides multi-sites de contact","FRAC M01","FRAC","Composés inorganiques cupriques","Multi-sites : dénaturation des protéines à groupements thiol","Hydroxyde de cuivre, oxychlorure de cuivre, sulfate (bouillie bordelaise), oxyde cuivreux","Très faible","non"
"Fongicides","M. Fongicides multi-sites de contact","FRAC M02","FRAC","Composés inorganiques soufrés","Multi-sites : perturbation de la respiration","Soufre mouillable, soufre micronisé, polysulfure de calcium","Très faible","non"
"Fongicides","M. Fongicides multi-sites de contact","FRAC M03","FRAC","Dithiocarbamates et dérivés","Multi-sites : inactivation des enzymes à groupements thiol","Mancozèbe, manèbe, thirame, métirame, propinèbe, zirame, ferbame","Très faible","non"
"Fongicides","M. Fongicides multi-sites de contact","FRAC M04","FRAC","Phtalimides","Multi-sites : réaction avec les thiols et les coenzymes","Captane, folpel, captafol","Très faible","non"
"Fongicides","M. Fongicides multi-sites de contact","FRAC M05","FRAC","Chloronitriles (phtalonitriles)","Multi-sites : conjugaison au glutathion","Chlorothalonil","Faible","non"
"Fongicides","M. Fongicides multi-sites de contact","FRAC M06","FRAC","Sulfamides","Multi-sites","Dichlofluanide, tolylfluanide","Très faible","non"
"Fongicides","M. Fongicides multi-sites de contact","FRAC M07","FRAC","Guanidines","Multi-sites : perturbation membranaire","Dodine, guazatine, iminoctadine","Faible à modéré","non"
"Fongicides","M. Fongicides multi-sites de contact","FRAC M09","FRAC","Quinones (anthraquinones)","Multi-sites","Dithianon","Très faible","non"
"Fongicides","M. Fongicides multi-sites de contact","FRAC M10","FRAC","Quinoxalines","Multi-sites","Chinométhionate","Faible","oui"
"Fongicides","M. Fongicides multi-sites de contact","FRAC M11","FRAC","Maléimides","Multi-sites","Fluoroimide","Très faible","oui"
"Fongicides","U et BM. Mode d'action inconnu et biocontrôle","FRAC 27","FRAC","Cyanoacétamide-oximes","Mode d'action multi-site probable, non élucidé","Cymoxanil","Faible à modéré","non"
"Fongicides","U et BM. Mode d'action inconnu et biocontrôle","FRAC 44 (BM02)","FRAC","Agents microbiens bactériens","Perturbation membranaire, compétition, induction de défenses","Bacillus subtilis, Bacillus amyloliquefaciens, Bacillus velezensis","Très faible","non"
"Fongicides","U et BM. Mode d'action inconnu et biocontrôle","FRAC BM01","FRAC","Agents microbiens fongiques","Mycoparasitisme, compétition, antibiose","Trichoderma harzianum, Trichoderma asperellum, Ampelomyces quisqualis, Coniothyrium minitans","Très faible","non"
"Fongicides","U et BM. Mode d'action inconnu et biocontrôle","FRAC 46 (BM03)","FRAC","Extraits de plantes (terpènes)","Perturbation membranaire","Mélange terpénique (eugénol, géraniol, thymol), huile essentielle d'orange","Très faible","non"
"Fongicides","U et BM. Mode d'action inconnu et biocontrôle","FRAC NC","FRAC","Bicarbonates et sels minéraux","Modification du pH et de la pression osmotique en surface","Bicarbonate de potassium, bicarbonate de sodium","Très faible","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 1A","IRAC","Carbamates","Inhibition de l'acétylcholinestérase (AChE)","Méthomyl, pyrimicarbe, oxamyl, carbaryl, méthiocarbe, formétanate, carbosulfan","Élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 1B","IRAC","Organophosphorés","Inhibition de l'acétylcholinestérase (AChE)","Chlorpyriphos, malathion, diméthoate, acéphate, phosmet, pirimiphos-méthyl, profénofos, diazinon","Élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 2A","IRAC","Organochlorés cyclodiènes","Antagoniste du canal chlorure GABA-dépendant","Endosulfan, chlordane, lindane","Élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 2B","IRAC","Phénylpyrazoles (fiproles)","Antagoniste du canal chlorure GABA-dépendant","Fipronil, éthiprole","Élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 3A","IRAC","Pyréthrinoïdes et pyréthrines","Modulation du canal sodium voltage-dépendant","Deltaméthrine, lambda-cyhalothrine, bifenthrine, cyperméthrine, alpha-cyperméthrine, acrinathrine, tau-fluvalinate, esfenvalérate, pyréthrines naturelles","Très élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 3B","IRAC","DDT et analogues","Modulation du canal sodium voltage-dépendant","DDT, méthoxychlore","Très élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 4A","IRAC","Néonicotinoïdes","Modulateur allostérique compétitif du récepteur nicotinique (nAChR)","Imidaclopride, thiaméthoxame, acétamipride, thiaclopride, clothianidine, dinotéfurane","Élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 4C","IRAC","Sulfoximines","Modulateur allostérique compétitif du nAChR","Sulfoxaflor","Modéré à élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 4D","IRAC","Buténolides","Modulateur allostérique compétitif du nAChR","Flupyradifurone","Modéré","oui"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 4E","IRAC","Mésoioniques","Modulateur allostérique compétitif du nAChR","Triflumézopyrim, dicloromézotiaz","Faible à modéré","oui"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 5","IRAC","Spinosynes","Modulateur allostérique du nAChR, site allostérique I","Spinosad, spinétorame","Modéré à élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 6","IRAC","Avermectines et milbémycines","Activation allostérique du canal chlorure glutamate-dépendant (GluCl)","Abamectine, émamectine-benzoate, milbémectine, lépimectine","Modéré à élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 14","IRAC","Analogues de la néréistoxine","Blocage du canal du récepteur nicotinique","Cartap, bensultap, thiocyclam","Modéré","oui"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 19","IRAC","Formamidines","Agoniste des récepteurs à l'octopamine","Amitraze","Modéré","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 22A","IRAC","Oxadiazines","Bloqueur du canal sodium voltage-dépendant","Indoxacarbe","Modéré","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 22B","IRAC","Semicarbazones","Bloqueur du canal sodium voltage-dépendant","Métaflumizone","Modéré","oui"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 28","IRAC","Diamides anthraniliques et phtaliques","Modulateur du récepteur à la ryanodine (libération du calcium)","Chlorantraniliprole, cyantraniliprole, flubendiamide, tétraniliprole, cyclaniliprole","Élevé","non"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 30","IRAC","Méta-diamides et isoxazolines","Modulateur allostérique du canal chlorure GABA-dépendant","Broflanilide, fluxamétamide, isocycloséram","Faible à modéré","oui"
"Insecticides & acaricides","Cible : système nerveux et musculaire","IRAC 32","IRAC","Peptides d'araignée","Modulateur allostérique du nAChR (site du canal)","Peptide GS-oméga/kappa HXTX-Hv1a","Faible","oui"
"Insecticides & acaricides","Cible : croissance, mue et développement","IRAC 7A","IRAC","Analogues de l'hormone juvénile","Mimétique de l'hormone juvénile","Hydroprène, kinoprène, méthoprène","Faible à modéré","oui"
"Insecticides & acaricides","Cible : croissance, mue et développement","IRAC 7B","IRAC","Carbamates régulateurs (fénoxycarbe)","Mimétique de l'hormone juvénile","Fénoxycarbe","Modéré","non"
"Insecticides & acaricides","Cible : croissance, mue et développement","IRAC 7C","IRAC","Éthers de pyridyloxypropyl","Mimétique de l'hormone juvénile","Pyriproxyfène","Modéré","non"
"Insecticides & acaricides","Cible : croissance, mue et développement","IRAC 10A","IRAC","Clofentézine, hexythiazox, diflovidazine","Inhibiteur de croissance des acariens (embryogenèse et mue)","Clofentézine, hexythiazox, diflovidazine","Modéré à élevé","non"
"Insecticides & acaricides","Cible : croissance, mue et développement","IRAC 10B","IRAC","Diphényl-oxazolines","Inhibiteur de croissance des acariens (chitine synthase 1)","Étoxazole","Modéré à élevé","non"
"Insecticides & acaricides","Cible : croissance, mue et développement","IRAC 15","IRAC","Benzoylurées","Inhibition de la biosynthèse de la chitine, type 0","Diflubenzuron, lufénuron, téflubenzuron, triflumuron, novaluron, flufénoxuron, hexaflumuron","Modéré à élevé","non"
"Insecticides & acaricides","Cible : croissance, mue et développement","IRAC 16","IRAC","Thiadiazines (buprofézine)","Inhibition de la biosynthèse de la chitine, type 1","Buprofézine","Modéré","non"
"Insecticides & acaricides","Cible : croissance, mue et développement","IRAC 17","IRAC","Triazines (cyromazine)","Perturbateur de la mue chez les Diptères","Cyromazine","Faible à modéré","oui"
"Insecticides & acaricides","Cible : croissance, mue et développement","IRAC 18","IRAC","Diacylhydrazines","Agoniste du récepteur de l'ecdysone (mue précoce et létale)","Tébufénozide, méthoxyfénozide, chromafénozide, halofénozide","Modéré","non"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 12A","IRAC","Thiourées (diafenthiuron)","Inhibiteur de l'ATP synthase mitochondriale","Diafenthiuron","Modéré","oui"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 12B","IRAC","Composés organostanniques","Inhibiteur de l'ATP synthase mitochondriale","Azocyclotin, cyhexatin, oxyde de fenbutatine","Modéré","non"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 12C","IRAC","Esters de sulfite (propargite)","Inhibiteur de l'ATP synthase mitochondriale","Propargite","Faible à modéré","non"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 12D","IRAC","Sulfones aromatiques (tétradifon)","Inhibiteur de l'ATP synthase mitochondriale","Tétradifon","Faible","oui"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 13","IRAC","Pyrroles, dinitrophénols, sulfluramide","Découplage de la phosphorylation oxydative (gradient de protons)","Chlorfénapyr, DNOC, sulfluramide","Modéré","non"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 20A","IRAC","Hydraméthylnon","Inhibiteur du transport d'électrons, complexe III","Hydraméthylnon","Faible","oui"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 20B","IRAC","Naphtoquinones (acéquinocyl)","Inhibiteur du transport d'électrons, complexe III, site Qo","Acéquinocyl","Modéré","non"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 20C","IRAC","Strobilurines acaricides","Inhibiteur du transport d'électrons, complexe III","Fluacrypyrim","Modéré","oui"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 20D","IRAC","Carbazates (bifénazate)","Inhibiteur du transport d'électrons, complexe III, site Qo","Bifénazate","Modéré à élevé","non"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 21A","IRAC","METI : quinazolines, pyrazoles, pyridazinones, pyrimidines","Inhibiteur du transport d'électrons, complexe I","Fénazaquin, fenpyroximate, pyridabène, tébufenpyrad, tolfenpyrad, pyrimidifène","Élevé","non"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 21B","IRAC","Roténoïdes","Inhibiteur du transport d'électrons, complexe I","Roténone","Faible","oui"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 24A","IRAC","Phosphines","Inhibiteur du transport d'électrons, complexe IV","Phosphure d'aluminium, phosphure de magnésium, phosphine","Modéré à élevé","non"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 24B","IRAC","Cyanures","Inhibiteur du transport d'électrons, complexe IV","Cyanure de calcium, cyanure de sodium","Faible","oui"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 25A","IRAC","Bêta-cétonitriles","Inhibiteur du transport d'électrons, complexe II","Cyénopyrafen, cyflumétofen","Modéré","non"
"Insecticides & acaricides","Cible : respiration mitochondriale et production d'énergie","IRAC 25B","IRAC","Carboxanilides acaricides","Inhibiteur du transport d'électrons, complexe II","Pyflubumide","Modéré","oui"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC 9B","IRAC","Pyridine-azométhines","Modulateur des organes chordotonaux, site TRPV","Pymétrozine, pyrifluquinazon","Modéré","non"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC 9D","IRAC","Pyropènes","Modulateur des organes chordotonaux, site TRPV","Afidopyropène","Faible à modéré","oui"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC 29","IRAC","Flonicamide (pyridine-carboxamide)","Modulateur des organes chordotonaux, site non défini","Flonicamide","Modéré","non"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC 23","IRAC","Dérivés d'acides tétroniques et tétramiques","Inhibition de l'acétyl-CoA carboxylase (biosynthèse des lipides)","Spirodiclofène, spiromésifène, spirotétramate, spiropidion","Modéré","non"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC 11A","IRAC","Bacillus thuringiensis et protéines Cry","Perturbation des membranes de l'intestin moyen","Bt subsp. kurstaki, aizawai, tenebrionis, israelensis","Faible à modéré","non"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC 11B","IRAC","Lysinibacillus sphaericus","Perturbation des membranes de l'intestin moyen","Lysinibacillus (Bacillus) sphaericus","Faible","oui"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC 31","IRAC","Baculovirus","Infection virale des cellules de l'intestin moyen","Cydia pomonella granulovirus (CpGV), NPV de Spodoptera et Helicoverpa","Très faible","non"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC 33","IRAC","Acynonapyr","Inhibiteur du transport du chlorure (canal chordotonal)","Acynonapyr","Faible","oui"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC 8A à 8F","IRAC","Fumigants et agents non spécifiques","Action multi-sites : alkylation et dénaturation","Bromure de méthyle, chloropicrine, fluorure de sulfuryle, borax, tartrate d'antimoine","Très faible","non"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC UNE","IRAC","Extraits botaniques à mode d'action inconnu","Non élucidé : répulsion, antiappétence, perturbation de la mue","Azadirachtine (neem), extrait d'ail, extrait de Chenopodium","Très faible","non"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC UNM","IRAC","Champignons entomopathogènes","Pénétration cuticulaire et colonisation de l'hémocèle","Beauveria bassiana, Metarhizium anisopliae, Lecanicillium muscarium, Isaria fumosorosea","Très faible","non"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC UN","IRAC","Huiles minérales et végétales, savons, poudres inertes","Asphyxie physique, dissolution de la cuticule, abrasion","Huile de paraffine, huile de colza, sels potassiques d'acides gras, kaolin, terre de diatomées","Très faible","non"
"Insecticides & acaricides","Cible : organes chordotonaux, lipides, intestin moyen et divers","IRAC UN","IRAC","Divers non classés","Mode d'action non établi","Pyridalyl, dicofol, benzoximate","Faible","oui"
"Herbicides","Inhibiteurs de la biosynthèse des lipides","HRAC 1 (ex A) / WSSA 1","HRAC","FOP : aryloxyphénoxypropionates ; DIM : cyclohexanediones ; DEN : phénylpyrazolines","Inhibition de l'acétyl-CoA carboxylase (ACCase) plastidiale","Fluazifop-P-butyl, quizalofop-P, haloxyfop-P, propaquizafop, clodinafop, fénoxaprop-P ; cléthodime, cycloxydime, séthoxydime, tralkoxydime ; pinoxaden","Très élevé","non"
"Herbicides","Inhibiteurs de la biosynthèse des lipides","HRAC 15 (ex N) / WSSA 8","HRAC","Thiocarbamates, phosphorodithioates","Inhibition de l'élongation des acides gras à très longue chaîne (VLCFA)","Prosulfocarbe, tri-allate, EPTC, molinate, bensulide","Faible à modéré","non"
"Herbicides","Inhibiteurs de la synthèse des acides aminés","HRAC 2 (ex B) / WSSA 2","HRAC","Sulfonylurées, imidazolinones, triazolopyrimidines, pyrimidinyl-thiobenzoates, sulfonylamino-carbonyl-triazolinones","Inhibition de l'acétolactate synthase (ALS / AHAS)","Nicosulfuron, metsulfuron-méthyl, tribénuron, iodosulfuron, rimsulfuron, sulfosulfuron ; imazamox, imazéthapyr, imazapyr ; florasulam, pyroxsulam ; bispyribac ; propoxycarbazone","Très élevé","non"
"Herbicides","Inhibiteurs de la synthèse des acides aminés","HRAC 9 (ex G) / WSSA 9","HRAC","Glycines (phosphonoglycines)","Inhibition de l'EPSP synthase (voie du shikimate)","Glyphosate et ses sels : isopropylamine, potassium, ammonium","Modéré à élevé","non"
"Herbicides","Inhibiteurs de la synthèse des acides aminés","HRAC 10 (ex H) / WSSA 10","HRAC","Acides phosphiniques","Inhibition de la glutamine synthétase (GS)","Glufosinate-ammonium, bialaphos","Faible","non"
"Herbicides","Inhibiteurs de la synthèse des acides aminés","HRAC 18 (ex I) / WSSA 18","HRAC","Carbamates (asulame)","Inhibition de la dihydroptéroate synthase (DHP)","Asulame","Faible","oui"
"Herbicides","Inhibiteurs de la photosynthèse","HRAC 5 (ex C1) / WSSA 5","HRAC","Triazines, triazinones, uraciles, phénylcarbamates, pyridazinones","Inhibition du photosystème II, site A (protéine D1, Ser264)","Atrazine, terbuthylazine, simazine, métribuzine, métamitrone, hexazinone, lénacile, chloridazone, desmédiphame, phenmédiphame","Élevé","non"
"Herbicides","Inhibiteurs de la photosynthèse","HRAC 5 / WSSA 7","HRAC","Urées substituées, amides","Inhibition du photosystème II, site A (variante urées)","Diuron, isoproturon, chlortoluron, linuron, métobromuron, propanil","Modéré à élevé","non"
